date;employee_title;employee_status;review_title;pros;cons
2015-12-29;N/A;Former Employee;Overseas;"Salary, Comany Housing, Schools for children
";"No real opportunity for advancement
3 people found this review helpful
Helpful
Share
Repor"
2015-12-09;N/A;Former Employee;Great company;"good work and very good
";"more good work and very good
"
2015-11-04;N/A;Former Employee;Drilling Supervisor;"Good company to work for
";"Getting to big for the experience of the personel
4 people found this review helpful
Helpful
Share
Repor"
2015-10-21;N/A;Former Employee;All that glitters is not gold.;"Compensation, travel, international co-workers, good leave policy
";"All tha glitters is not gold. The expat camp at Ras Tanura is in very bad condition and updates are not happening. Before you leap to take your position and leave your life in the US or elsewhere, make sure you are prepared for less than adequate accommodation and overall poor health care.
"
2015-06-18;Geophysicist III;Current Employee, more than 5 years;Great W/L Balance with lots of development opportunities;"Great W/L Balance , Great Developments , Good environment , lots of data to work with ,
";"Salaries , evaluation system , Not a lot of conferences , not a lot of asset team work.
"
2015-06-09;Anonymous;Current Employee, more than 1 year;I am not staying for long...;"The salary is ok, is a good thing not need to pay taxes and the vacations are enough to visit your home country.
";"Recruitment always try to offer to much and when you arrive you realize that not everything is as they promise, I was offered a house in the main camp (I have pictures in my email of my supposed camp house sent by recruitment) and I ended out of the main camp, so my family live now in a small area and if they want to move I need to take them to every place because the women are only allowed to drive inside the camp. Additionally they offered a position different to the one I am now working at, and now they are asking me to commute to a 6 hours location leaving my family behind in a place where they will not be able to move because they are not in the camp, the salary does not pay that.
"
2015-06-15;Network Engineer;Former Employee, more than 10 years;Saudi Aramco..where you work happily;"I was a contractor. Saudi Aramco is the best company in the world. No pressures, just daily work, good colleagues, family, nice vacations, and routines
";"being bored, not having a say
"
2015-05-27;Anonymous;Current Employee;Business system analyst III;"Team work, learning new skills, engaging in lots of projects, learning a lot about leading teams ans projects
";"lots of unplanned assignments, complication with management, hidden rules, different pay roles and not fair to many people, they pay you depends on your nationality which is really weird
"
2015-05-20;Anonymous;Current Employee;senior planning analyst;"great compensation package, excellent community facilities
";"one of the hottest places on earth
1 person found this review helpful
Helpful
Share
Repor"
2015-04-19;N/A;Former Employee;Field Metal Mechanic;"They are impressive in improving the employees skills
";"The life is not going to be balanced between your work and actual life
"
2015-03-03;Project Engineer;Former Employee, more than 5 years;You stop learning after a few years.;"Good salary, nice people, and work/life balance.
";"Not challenging, nepotism, and mediocre middle managers.
"
2015-01-18;N/A;Current Employee;Be careful what they offer you because that may change when you get there;"Maybe salary is better not extraordinary compare to haedahips you will encounter
";"Almost everything they offered me job in one location and accordingly the housing but once I got there I found out my job is really middle of nowhere as well the housing. Too much favoriteism and politics
"
2014-12-04;N/A;Former Employee;Management consultant and leader development;"Great pay nada chance to travel
";"Very harsh climate. Slow to adapt to international business practices
"
2014-11-29;N/A;Former Employee;Satisfied;"Good pay and Friendly environment
";"Job was part time due to the company bring out of the country
"
2014-08-19;Anonymous;Former Employee, more than 10 years;Benefits at Aramco;"One of the best in the industry. Their retirement package and salary package for US Citizens is excellent.
";"Prospects for growth is limited.
"
2014-07-09;Anonymous;Current Employee;Perfect career move....;"Job security...Top pay...friendly atmosphere. ..A solid renowned company.
";"There is none. Management is there to assist you taking all the cons out of the equation.
"
