date;employee_title;employee_status;review_title;pros;cons
2019-10-14;Corporate Employee;Former Employee, more than 3 years;Terrible Culture;"Benefits, International presence, Wind Energy
";"Pay, Culture, Lack of Diversity, Lack of Growth, Systems Utilized, Terrible Upper Management, In most cases- Lazy Peers The culture in the Americas is awful. Production has INSANE turnover Service barely knows their left from their right Sales is justified in treating people like dirt because they are extremely overworked and HR has no rhyme or reason as to how they do anything
Verify your email to continue reading or Resend email
4 people found this review helpful
Helpful
Share
Repor"
2020-02-05;Corporate Travel Agen;Current Employee, more than 1 year;Decent job;"12 hour shifts means more family time. Co workers are excellent. Easy to accumulate pto.
";"No room for advancement Stressful situations Not very professional
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2019-10-20;Lead;Current Employee, more than 5 years;Nice Colorado company to work for;"Work love balance is good
";"12 hour shifts, might not get a shift that works for you
Be the first to find this review helpful
Helpful
Share
Repor"
2019-12-21;Instructor;Current Employee, more than 5 years;.;"Co-workers make it more bearable
";"Upper management has no clue of anything. Were only selected through good ol' boy association and it's painfully obvious.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2019-12-28;Production Operator;Current Employee, more than 1 year;Better than average starting pay, grueling physical labor though;"Better than average pay to start, super cheap health insurance
";"Grueling physical labor, frequently short staffed leaving you required to fill the roles of several people
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2019-10-13;Buyer;Former Employee;Enivi;"Young culture, environmentally friendly company, depending on your work location there can be many perks.
";"Company is continually deaf to employee surveys and feedback (especially if you live outside of Denmark), many jobs are now being outsourced and the outsourcing is managed poorly. Reporting structures can be difficult if you work in one country but report to a group that sits in another.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2019-09-20;Technician;Current Employee, more than 1 year;Just a big PR firm;"Good Benefits, Lots of overtime available.
";"Comparably Low Wages. Corporate Culture is Overwhelming Safety culture is a facade to the point that nothing would get done if the polices where followed. They know it too. But if something happens they can say ""you are fired because you didn't do it the Vestas way."" Way too much pressure put on sight management. Perpetual employment shortage (see: Comparably low wages)
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2019-12-21;Wind Turbine Technician;Former Employee;No balance in life and work;"Money is good due to long week/days worked Diversity in work scope
";"70+ hour work weeks Hourly pay not fairly scaled No life outside work
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2019-08-09;Forklift Operator;Former Employee, less than 1 year;Lots of overtime. Poor pay structure.;"Good people. Lots of overtime if you want it. Great benefits. Free health insurance for single people. Catered lunches. Year end giveaways. Really hard to get fired.
";"Mandatory overtime. 5 10-12 hour shifts. Promotes imbeciles. Retains lazy people and no-call-no-shows. Uses a staffing agency to find employees. No chance of moving up beyond supervisor in the company. Little baby raises equal to pocket change.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2019-09-10;Manager;Former Employee, more than 1 year;Dont Work Here;"The people who stay are really great to work with but that is only a few of them.
";"They will tell you about Holidays that they will make mandatory for you to work, even Christmas and Thanksgiving. They will tell you that your schedule is 4 days on and 3 days off and then 3 days on and 4 days off but make it mandatory you work your days off. If goals are not meet higher Management will say that you must of been working half speed so now you must work 1 of your days off.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
