date;employee_title;employee_status;review_title;pros;cons
2021-02-05;Associate Process Engineer;Current Employee;Good place to work;"Stability, benefits, salary, great coworkers
";"Limited path upwards, limited mentorship
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-29;Process Engineering Intern;Former Employee;Great Internship Program;"Great Pay, Good Mentoring, Lots of Networking Potential
";"Struggled to keep me fully busy
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-02;Operator;Current Employee;Great company;"Benefits and money is great
";"Times when personal time gets low
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-30;Clerk;Former Employee, more than 1 year;Awesomeeee;"I wish I still worked there
";"Lots of elderly people who like to talk
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-07;Process Operator;Current Employee, more than 1 year;Good job, good people;"Lots of busy work, plenty of opportunities to cross train and qualify for different positions
";"Pay could be better for work that is being done, mandatory swing shift and if you are scheduled to work holidays you can't take vacation
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-25;Anonymous;Current Employee, more than 10 years;Anti Family, Connections over Meritocracy;"San Antonio is a better place to live than Houston
";"They work their Supply department thin, to the bone, with no suitable backups. No such thing as Vacation, days off, Holidays or weekends. Family takes a back seat to Work; Promotions based on who you know or where you went to school (A&M, OU) rather than accomplishments. Intern program is especially corrupt, as most Internships are handed out to children of VPs.
Verify your email to continue reading or Resend email
4 people found this review helpful
Helpful
Share
Repor"
2021-02-01;Operator;Current Employee;Great company;"Great retirement career family based
";"None great all around company
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-19;Technology Advisor;Current Employee, more than 5 years;Na;"Money/pay is good, pension, daycare
";"Lot of work, no work life balance
1 person found this review helpful
Helpful
Share
Repor"
2021-01-13;Manager;Current Employee;Love working here!;"Opportunity for professional growth and to reach personal career goals.
";"I have found anything too awful...
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-03;Accountant;Former Employee, less than 1 year;Great place to grow;"The accounting team was great for someone out of college
";"None that I can think of at the time
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-05;Cashier;Former Employee;Good;"The Hours are always good
";"Rude people refuse to wear mask
1 person found this review helpful
Helpful
Share
Repor"
2021-03-24;Engineer;Current Employee, more than 3 years;Good learning opportunity;"Great process experience, good benefits and 401k match
";"Poor culture and management, undefined job expectations
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-29;Management;Current Employee;N/A;"It would be a great place to work
";"the competition is hard to management to get in
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-07;Executive Director;Current Employee, more than 10 years;Best Company;"Great management to work for
";"None I can think of
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-05;Accountant;Former Employee;Employee minded;"Fair compensation, family and work balance
";"None at this time, occasional micromanage
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-23;Associate Business Analyst;Current Employee;Care;"Valero cares for their employees in many ways including benefits for health and wellness
";"Fast paced environment in some areas
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-05;Contractor;Former Employee;Good Company;"Good company with good pay
";"Decent company With good pay
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-07;Commercial Analyst;Current Employee;Valero Review;"Great benefits and environment to work in.
";"It is not a very youthful company and still have a lot of old ways of running a company.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-07;Contract Specialist;Former Employee, more than 1 year;poor management, and training;"The company benefits are good.
";"lack of true diversity when hiring, and promoting
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2020-12-07;Director, Advanced Analytics;Former Employee, more than 10 years;company summary;"Good compensation and benefits package, community involvement
";"old school, no remote work available
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2020-11-10;Electrical Engineer;Former Employee, more than 3 years;Great Company;"Valero is a great company that cares deeply for their employees. I definitely felt the sense of a safety culture and recommend working there.
";"Their are no 9/80 or other perks that make the work schedule more flexible.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-01;Instrumentation Technician;Current Employee;Instrumentation;"Experience, pay rate, work environment and career
";"Pay rate, training, troubleshooting, mechanical maintenance and opportunity
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-08;Operator;Current Employee;Great;"Good Enviornment good pay good benefits
";"Long hours weekends holidays weather
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-29;Security Manager;Former Employee, more than 5 years;Great Company for the most part;"Good Pay, Great People. Some directors use their position for personal gain and wealth.
";"Senior Leadership, not all but many corrupt
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
2020-05-01;Sales Associate/Cashier;Current Employee, more than 3 years;So far so good;"1. Flexibility 2. fast paced work 3. Weekly pay
";"1. Lottery- employees are forced to pay for lottery tickets whenever accidents (accidentally hitting button twice, lotto machine prints out two instead of just one then you have to pay for it) or even when customer decides not to purchase the tickets after requesting them, you now have to either sell the extra or you have to buy it. 2. fast Employee turnover, constant schedule changes and training of new employees. 3. Pending on size of store, small stations schedule one worker to work at night; it’s a high risk when robber knows only one person is at the location and is a safety issue for that employee.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Report
Valero Energy Response
Valero manufactures fuels for distribution and does not own convenience stores or retail gas stations and does not employ convenience store or retail gas station personnel. Your comment is reflecting an issue with the company who owns and operates the store"
2020-11-27;Manager;Current Employee;Opinion;"Clean energy. Good location. Serviceable pumps.
";"Terrible manager. Terrible co workers
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Report
Valero Energy Response
Valero manufactures fuels for distribution and does not own convenience stores or retail gas stations and does not employ convenience store or retail gas station personnel. Your comment is reflecting an issue with the company who owns and operates the store"
2020-10-28;Sales Associate;Former Employee, more than 3 years;very;"employee discount if you keep up for two weeks or so
";"management and pay, wage is always minimum
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Report
Valero Energy Response
Valero manufactures fuels for distribution and does not own convenience stores or retail gas stations and does not employ convenience store or retail gas station personnel. Your comment is reflecting an issue with the company who owns and operates the store"
2021-01-28;Accounting Coordinator;Former Employee;Culture;"Very good benefits and work life balance
";"Do not promote people based on performance
2 people found this review helpful
Helpful
Share
Repor"
2020-11-03;Sweeper;Former Employee, more than 3 years;Good job for those who want;"Great pay for those who want
";"not enough time off for pay
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-11;Accountant;Current Employee, more than 3 years;Great company, hard to move up;"Great pay and benefits structure
";"Too political, take long to get promoted.
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
