date;employee_title;employee_status;review_title;pros;cons
2020-09-29;Planning Lead;Former Employee;Performance;"The non management people are memorable, positively
";"The management doesn't care of your thinking or takes credit
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-27;Senior Mechanical Engineer;Former Employee;Good;"Good experts in oilfield but environment is changing
";"Layoffs are the norm and falling stock price
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-11;Sales Engineer;Former Employee, more than 8 years;Once a great place to work;"Excitement, diversity of duties, compensation
";"Long hours, large swings in market conditions
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-10;Mechanic;Current Employee;great;"good work place to be
";"salary not enough i feel
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-15;Manager;Former Employee, more than 8 years;do not work there;"not much to say here
";"everything is bad about this company
1 person found this review helpful
Helpful
Share
Repor"
2020-09-10;Technology Manager;Current Employee, more than 8 years;Good Company;"Great people Good technology Good compensations and benefits
";"High volatility business High pressure
"
2020-09-24;Production Engineer;Former Employee, more than 3 years;Good first job;"Excellent training programme and diverse workforce
";"Wants to be on the cutting edge of the digital transformation but out of touch with technology and the needs of the industry
"
2020-09-23;Field Engineer I;Former Employee, more than 1 year;Laid off during COVID;"Good pay once broken out, good benefits in DSPP, 401k matching etc. Good training. Great place to start career if outside of the fracking industry.
";"Company operates like a machine rather than a business built around people. Management did not speak to field staff hardly ever regarding actual work, only cared about made up ""metrics"" created through schlumberger that did not describe the quality or work ethic of the employee. Treated the females better solely to reach the goal of a more diverse workplace. Females could screw up an entire job and not get scolded, while the men would get scolded for fixing the females mistakes.
"
2020-09-08;Vice President;Former Employee, more than 10 years;Great environment to learn and grow;"Opportunities to grow and be exposed to different functions, roles, geography
";"Adjustments during downturns can be brutal
"
2020-09-22;Engineer;Current Employee, more than 8 years;Engineer;"Good place to learn for new graduates. They invest a lot in training. Work with some great people.
";"Very top heavy company. Limited career growth and compensation due to the nature of the business. Company has a lot of strict rules and is constantly making new rules. Its a big company so you get the feeling of just being a number.
"
2020-10-13;Field Engineer Trainee;Former Employee, less than 1 year;They don't care about you;"good pay, lots of people and resources available online
";"no proper training protocols; workers do not care about safety; operator-specialist-engineer relationships are terrible; the industry itself is very sexist
"
2020-09-06;Customer Support Engineer;Former Employee, more than 5 years;Perform;"Word Wide Exposure/ Mindset/ Teamwork
";"Low Life-Work balance/ Low salary compare with other service company
"
2020-09-05;Financial Analyst;Former Employee, more than 5 years;Financial Analyst;"Very flexible, varieties cultures, there are lots of good opportunities for growth.
";"Long and stressful month-end, not really paid compared to other big oil and gas companies
"
2020-09-15;Project Manager;Current Employee, more than 10 years;Great place for petroleum engineers;"Move around the world. Work with people all over the world.
";"Unless you work in the field as field engineer, you have little chance of career growth. Software engineers looking to get better will find no good mentors in new tech. Some divisions have better culture about growth and learning, most are focusing only on delivery.
"
2020-09-01;Project Manager;Former Employee, more than 10 years;Schlumberger - Good company but lots of re-orgs;"Tech-focus, international mobility, diversity, never micro-managed.
";"Lots of re-orgs in the last several years, lost focus on people during Kibsgaard's tenure, difficult progression path if not an engineer. Culture was really good but degraded as Kibsgaard's tenure continued - NOT a dig against him, just an observation of how the culture changed.
"
2020-09-03;Operations Manager;Current Employee, more than 10 years;Great Company;"Career advancement, diversity, training, development, recognition programs, transparency, etc
";"Work life balance could be better
"
2020-09-18;Manufacturing Planner Associate;Former Employee, less than 1 year;No camaraderie;"None that I can think of
";"No camaraderie. Went in, did your time, left.
Be the first to find this review helpful
Helpful
Share
Repor"
